Name,Amount,Category,Created
Coding,150,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:19 PM"
Temp Plates,200,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:19 PM"
Techno Test,560,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:19 PM"
Volume Button,30,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:19 PM"
West Gate Service,150,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:21 PM"
License Plate,430,Buying (https://www.notion.so/Buying-04373357769644a5b2d4df8328c93e98?pvs=21),"February 27, 2024 10:21 PM"
Left Roof Trim,80,Repair (https://www.notion.so/Repair-f4b954a9c903481d91be53b9643b0577?pvs=21),"February 27, 2024 10:21 PM"
Headlight Tint,100,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"February 27, 2024 10:21 PM"
Front Windows Tint,100,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"February 27, 2024 10:21 PM"
Suspension parts,150,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"February 27, 2024 10:21 PM"
Suspension Service,80,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"February 27, 2024 10:23 PM"
Road Tax,213,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"February 28, 2024 11:13 AM"
FMIC Intercooler,870,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"March 5, 2024 10:57 PM"
Turbo Inlet,190,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"March 5, 2024 10:57 PM"
Steel Oil Pan,160,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"March 18, 2024 11:45 AM"
Oil Leak,170,Service (https://www.notion.so/Service-f1133adc802e49b5b7337f66a07fc6bd?pvs=21),"March 18, 2024 4:10 PM"
Catalyc Downpipe,660,Tunning (https://www.notion.so/Tunning-55c466add2f54e418095c8c13a914c32?pvs=21),"March 22, 2024 12:52 PM"
